command,repos
abilint,extra
abipkgdiff,extra
abiword,extra
abuild,extra
abuild-addgroup,extra
abuild-adduser,extra
abuild-apk,extra
abuild-fetch,extra
abuild-gzsplit,extra
abuild-keygen,extra
abuild-rm,extra
abuild-rmtemp,extra
abuild-sign,extra
abuild-sudo,extra
abuild-tar,extra
abump,extra
abw2html,extra
abw2raw,extra
abw2text,extra
acat,extra
accerciser,extra
accessdb,core
accessibilityinspector,extra
accountwizard,extra
accuraterip-checksum,extra
ace,extra
aclocal,core
aclocal-1.18,core
acme,extra
acme-post,extra
acme-redirect,extra
acme-renew,extra
acme-tiny,extra
acme.sh,extra
aconnect,extra
acorn,extra
acorn2sfd,extra
acpi,extra
acpi_listen,extra
acpibin,extra
acpid,extra
acpidump,extra
acpiexamples,extra
acpiexec,extra
acpihelp,extra
acpisrc,extra
acpixtract,extra
acpl,extra
act,extra
actionlint,extra
activate-global-python-argcomplete,extra
activity-log-manager,extra
actmerge,extra
actsync,extra
actsyncd,extra
acyclic,extra
ada_count,extra
adb,extra
add-det,extra
add-determinism,extra
addcomputer.py,extra
adddebug,extra
addedgeg,extra
addftinfo,core
addgnupghome,core
addld,extra
addmocincludes,extra
addpart,core
addptg,extra
addr2line,core
addr2name,extra
address6,extra
addrinfo,extra
adf2hdf,extra
adguardhome,extra
adhocfilelist,extra
adie,extra
adiff,extra
adig,extra
adios2-config,extra
adios2_deactivate_bp,extra
adios2_iotest,extra
adios2_json_pp,extra
adios2_remote_server,extra
adios2_reorganize,extra
adios2_reorganize_mpi,extra
adjacency,extra
adjacency_gmp,extra
adljack,extra
adlrt,extra
adm2dgr,extra
adnmz,extra
adnsheloex,extra
adnshost,extra
adnslogres,extra
adnsresfilter,extra
adriconf,extra
adventure,extra
advtest,extra
adwaita-1-demo,extra
adxcsouf2john,extra
aegisub,extra
aem2john,extra
aeolus,extra
aerc,extra
aescrypt2hashcat.pl,extra
aeson-pretty,extra
afcclient,extra
afew,extra
affixcompress,extra
afl-addseeds,extra
afl-analyze,extra
afl-c++,extra
afl-cc,extra
afl-clang,extra
afl-clang++,extra
afl-clang-fast,extra
afl-clang-fast++,extra
afl-clang-lto,extra
afl-clang-lto++,extra
afl-cmin,extra
afl-cmin.awk,extra
afl-cmin.bash,extra
afl-cmin.py,extra
afl-collect,extra
afl-cron,extra
afl-fuzz,extra
afl-g++,extra
afl-g++-fast,extra
afl-gcc,extra
afl-gcc-fast,extra
afl-gotcpu,extra
afl-ld-lto,extra
afl-lto,extra
afl-lto++,extra
afl-minimize,extra
afl-multicore,extra
afl-multikill,extra
afl-network-client,extra
afl-network-server,extra
afl-persistent-config,extra
afl-plot,extra
afl-qemu-trace,extra
afl-showmap,extra
afl-stats,extra
afl-sync,extra
afl-system-config,extra
afl-tmin,extra
afl-vcrash,extra
afl-whatsup,extra
afm2afm,extra
afm2pl,extra
afm2tfm,extra
afmtodit,core
afp_client,extra
afpcmd,extra
afpfs,extra
afpfsd,extra
afpgetstatus,extra
aft-mtp-cli,extra
aft-mtp-mount,extra
ag,extra
ag-backup,extra
ag-tool,extra
agda,extra
agda-mode,extra
age,extra
age-inspect,extra
age-keygen,extra
age-plugin-batchpass,extra
age-plugin-tkey,extra
age-plugin-tpm,extra
age-plugin-yubikey,extra
agenda,extra
agentxtrap,extra
agetty,core
agreety,extra
agrep,extra
agrind,extra
aha,extra
ahost,extra
aichat,extra
aiodiscover,extra
aioesphomeapi-discover,extra
aioesphomeapi-logs,extra
aionostr,extra
aiosmtpd,extra
airbase-ng,extra
aircrack-ng,extra
airdecap-ng,extra
airdecloak-ng,extra
airdrop-ng,extra
aireplay-ng,extra
airgraph-ng,extra
airmon-ng,extra
airodump-join,extra
airodump-ng,extra
airodump-ng-oui-update,extra
airolib-ng,extra
airscan-discover,extra
airserv-ng,extra
airspy_gpio,extra
airspy_gpiodir,extra
airspy_info,extra
airspy_lib_version,extra
airspy_r820t,extra
airspy_rx,extra
airspy_si5351c,extra
airspy_spiflash,extra
airtun-ng,extra
airventriloquist-ng,extra
aix2john,extra
aj-snapshot,extra
akaidump,extra
akaiextract,extra
akit,extra
akonadi-db-migrator,extra
akonadi2xml,extra
akonadi_agent_launcher,extra
akonadi_agent_server,extra
akonadi_archivemail_agent,extra
akonadi_birthdays_resource,extra
akonadi_contacts_resource,extra
akonadi_control,extra
akonadi_davgroupware_resource,extra
akonadi_etesync_resource,extra
akonadi_ews_resource,extra
akonadi_ewsmta_resource,extra
akonadi_followupreminder_agent,extra
akonadi_google_resource,extra
akonadi_html_to_text,extra
akonadi_ical_resource,extra
akonadi_icaldir_resource,extra
akonadi_imap_resource,extra
akonadi_indexing_agent,extra
akonadi_knut_resource,extra
akonadi_maildir_resource,extra
akonadi_maildispatcher_agent,extra
akonadi_mailfilter_agent,extra
akonadi_mailmerge_agent,extra
akonadi_mbox_resource,extra
akonadi_migration_agent,extra
akonadi_mixedmaildir_resource,extra
akonadi_newmailnotifier_agent,extra
akonadi_openxchange_resource,extra
