desktop_id,repos
com.zamaudio.zamgrains,extra
com.zamaudio.zamheadx2,extra
com.zamaudio.zamphono,extra
com.zamaudio.zamtube,extra
com.zamaudio.zamulticomp,extra
com.zamaudio.zamulticompx2,extra
com.zamaudio.zamverb,extra
compton,extra
conky,extra
conky-manager2,extra
cool-retro-term,extra
cppcheck-gui,extra
critter,extra
csd-automount,extra
csoundqt,extra
cups,extra
cuyo,extra
cz.nic.datovka,extra
danmaQ,extra
darkman,extra
ddcui,extra
dde-calendar,extra
dde-computer,extra
dde-device-formatter,extra
dde-file-manager,extra
dde-home,extra
dde-lock,extra
dde-open,extra
dde-printer,extra
dde-trash,extra
de.feschber.LanMouse,extra
de.haeckerfelix.AudioSharing,extra
de.haeckerfelix.Fragments,extra
de.haeckerfelix.Shortwave,extra
de.hohnstaedt.xca,extra
de.leopoldluley.Clapgrep,extra
de.mediathekview.MediathekView,extra
de.schmidhuberj.DieBahn,extra
de.sciss.mellite.Mellite,extra
deepin-boot-maker,extra
deepin-calculator,extra
deepin-camera,extra
deepin-compressor,extra
deepin-devicemanager,extra
deepin-draw,extra
deepin-editor,extra
deepin-font-manager,extra
deepin-gomoku,extra
deepin-image-viewer,extra
deepin-lianliankan,extra
deepin-movie,extra
deepin-picker,extra
deepin-scanner,extra
deepin-screen-recorder,extra
deepin-system-monitor,extra
deepin-terminal,extra
deepin-terminal-gtk,extra
deepin-voice-note,extra
deltachat-desktop,extra
deluge,extra
designer,extra
dev.Cogitri.Health,extra
dev.Cogitri.Health.Autostart,extra
dev.bragefuglseth.Fretboard,extra
dev.geopjr.Collision,extra
dev.geopjr.Tuba,extra
dev.lapce.lapce,extra
dev.noctalia.Noctalia,extra
dev.serebit.Vkcheck,extra
dev.serebit.Waycheck,extra
dev.zed.Zed,extra
devede_ng,extra
dgedit,extra
dillo,extra
din,extra
discord,extra
displaycal,extra
displaycal-3dlut-maker,extra
displaycal-apply-profiles,extra
displaycal-curve-viewer,extra
displaycal-profile-info,extra
displaycal-scripting-client,extra
displaycal-synthprofile,extra
displaycal-testchart-editor,extra
displaycal-vrml-to-x3d-converter,extra
